"drange","dlat","dlon_neg","dlon","D_to_Driftmier","D_to_Adrift_F35","D_to_Earl_Ross_Home","D_to_Ross_Cabin","minDist","District","LLNR","XREF","Aid_x0020_Name","Aid_x0020_Type","Position_x0020__x0028_Latitude_x0029_","Position_x0020__x0028_Longitude_x0029_","Characteristic","Both_x002F_Night_x002F_Day","Height","Range","Location","Structure","Remarks","RACN_x0020_Morse_x0020_Char"
"5","47.9234444444444","-122.492047777778","122.492047777778","46.8549574079621","46.8314880504882","12.4551019023218","0.735520395923573","0.735520395923573","13","16540","","Puget Sound Traffic Separation Lane Lighted Buoy SE","FD","47-55-24.400N","122-29-31.372W","Fl Y 2.5s","Night","","5","","Yellow.","",""
"5","47.9082613888889","-122.438140277778","122.438140277778","46.7991428028987","46.7756531603851","12.4339814563832","0.749035620075874","0.749035620075874","13","16555","","Scatchet Head Lighted Gong Buoy 1 ","FD","47-54-29.741N","122-26-17.305W","Fl G 6s","Night","","5","","Green.","",""
"5","48.0308797222222","-122.637132777778","122.637132777778","47.017952512228","46.9948316784739","12.5790652223741","0.784104907558727","0.784104907558727","13","16510","","Puget Sound Traffic Separation Lane Lighted Buoy SC","FD","48-01-51.167N","122-38-13.678W","Fl Y 2.5s","Night","","5","","Yellow.","May be submerged during periods of extreme current.",""
"5","48.1172241666667","-122.749216944444","122.749216944444","47.1446091790113","47.121770726052","12.6790793108858","0.849785951485185","0.849785951485185","13","16495","17525","Point Hudson Light 4 ","FD","48-07-02.007N","122-44-57.181W","Fl R 2.5s","Night","35","5","","TR on pile on shore.","",""
"5","48.1565422222222","-122.671133333333","122.671133333333","47.0756616465881","47.0530655704167","12.7079939789092","0.899617291096506","0.899617291096506","13","16485","","Keystone Harbor Entrance Light 2 ","FD","48-09-23.552N","122-40-16.080W","Fl R 4s","Night","13","5","","TR on platform on breakwater.","",""
"5","48.1326066666667","-122.510836666667","122.510836666667","46.9137754833185","46.8912162004016","12.6650436411778","0.919237779537059","0.919237779537059","13","18625","","Saratoga Passage Light 4 ","FD","48-07-57.384N","122-30-39.012W","Fl R 4s","Night","15","5","","TR on skeleton tower.","",""
"5","48.1909297222222","-122.829895","122.829895","47.2380812882793","47.2154959791608","12.7630002405913","0.919388883015031","0.919388883015031","13","16405","","Puget Sound Traffic Separation Lane Lighted Buoy SA","FD","48-11-27.347N","122-49-47.622W","Fl Y 2.5s","Night","","5","","Yellow.","AIS: MMSI993692047","M ( - - )"
"5","47.9879638888889","-122.229881388889","122.229881388889","46.6100738092078","46.5871221636079","12.4921903680306","0.936268809652474","0.936268809652474","13","18535","","Snohomish River Light 5 ","FD","47-59-16.670N","122-13-47.573W","Fl G 4s","Night","16","5","","SG on multi-pile structure.","",""
"5","48.183855","-122.536936666667","122.536936666667","46.949397761219","46.9270419268947","12.7189405451157","0.959042448187478","0.959042448187478","13","18630","","Onamac Point Light 6 ","FD","48-11-01.878N","122-32-12.972W","Fl R 6s","Night","15","5","","TR on skeleton tower.","",""
"5","48.2565733333333","-122.832282777778","122.832282777778","47.2532716457532","47.2309727385928","12.8283490590434","0.985028405946494","0.985028405946494","13","16390","","Partridge Bank Lighted Buoy 1","FD","48-15-23.664N","122-49-56.218W","Fl G 4s","Night","","5","","Green.","",""
"5","48.3243516666667","-122.819298333333","122.819298333333","47.2539020269379","47.2319125360695","12.8937243451583","1.05289146555484","1.05289146555484","13","16380","","Minor Island Light","FD","48-19-27.666N","122-49-09.474W","Fl W 4s","Night","27","5","","NB on spindle on concrete building.","",""
"5","48.30017","-122.503873333333","122.503873333333","46.9399430730152","46.9181314513739","12.8307581611953","1.07989384680953","1.07989384680953","13","18760","","Strawberry Point Light 3 ","FD","48-18-00.612N","122-30-13.944W","Fl G 4s","Night","15","5","","SG on dolphin.","",""
"4","47.1621166666667","-122.88035","122.88035","47.0978968496321","47.0707354370523","11.7524980496415","0.119368341100611","0.119368341100611","13","17395","","Brisco Point Light 8 ","FD","47-09-43.620N","122-52-49.260W","Fl R 4s","Night","17","4","","TR on multi-pile structure.","Light obscured from 170?? to 238.5??.",""
"4","47.2387897222222","-122.715999166667","122.715999166667","46.9494892844552","46.9227978313751","11.8042610807044","0.121172982050436","0.121172982050436","13","17296","","Wyckoff Shoal Light 3","FD","47-14-19.643N","122-42-57.597W","Fl G 4s","Night","15","4","","SG on pile.","",""
"4","47.2415902777778","-122.714591111111","122.714591111111","46.9485961744862","46.9219182575592","11.8068384397768","0.121810443089431","0.121810443089431","13","17295","","Wyckoff Shoal Light 1","FD","47-14-29.725N","122-42-52.528W","Fl G 2.5s","Night","16","4","","SG on pile.","",""
"4","47.1663877777778","-122.764803888889","122.764803888889","46.9848580418635","46.9578070084667","11.7395050638069","0.125150425144463","0.125150425144463","13","17365","","Devils Head Light 4 ","FD","47-09-58.996N","122-45-53.294W","Fl R 6s","Night","16","4","","TR on multi-pile structure.","",""
"4","47.1798852777778","-122.742475833333","122.742475833333","46.9652278326376","46.9382543144362","11.749667327517","0.128587981415647","0.128587981415647","13","17275","","Drayton Passage Lighted Buoy 2","FD","47-10-47.587N","122-44-32.913W","Fl R 4s","Night","","4","","Red.","",""
